"ZZ1_FILIAL","ZZ1_CODIGO","ZZ1_FORNEC","ZZ1_LOJAFO","ZZ1_CERTIF","ZZ1_VALCER","ZZ1_TOLERA","ZZ1_TOTOK","ZZ1_TOTNOK"
"","000001","000002","02","","10/19/27","10.00","0.00","0.00"
"","000002","000003","01","","10/10/28","12.00","0.00","0.00"
"","000003","000003","01","","12/10/26","10.00","0.00","0.00"
"","000003","000003","01","","12/10/28","20.00","0.00","0.00"
"","000004","000001","01","","12/10/29","1.00","0.00","0.00"
"","000003","000002","02","","12/10/28","20.00","0.00","0.00"
"","000004","000002","02","","10/19/29","29.00","0.00","0.00"
"","000005","000001","01","","08/09/26","30.00","0.00","0.00"
"","000001","0001","01","","10/19/26","10.00","0.00","0.00"
"","000002","0002","01","","08/10/26","10.00","0.00","0.00"
"","000003","0003","02","","08/07/26","20.00","0.00","0.00"
"","000004","0004","02","","12/10/27","30.00","0.00","0.00"
"","000005","0001","01","","12/12/30","13.00","0.00","0.00"
